id,contour_index,parent_contour_index,x,y,width,height,area,aspect_ratio,area_ratio,width_ratio,height_ratio,center_x,center_y,depth,children,siblings,edge_density,border_edge_density,horizontal_edge_density,vertical_edge_density,contour_density,dark_pixel_ratio,bright_pixel_ratio,interior_content_density,structural_type,structural_confidence
85,367,,8,986,22,21,462,1.047619,0.000209,0.011464,0.018213,0.009901,0.864267,0,0,79,0.335498,0.103896,0.047619,0.073593,0.010823,0.0,0.573593,0.519608,UNKNOWN,0.4
86,1440,,345,30,21,22,462,0.954545,0.000209,0.010943,0.019081,0.185253,0.035559,0,0,79,0.305195,0.075758,0.054113,0.11039,0.010823,0.0,0.510823,0.398693,UNKNOWN,0.4
87,352,,5,1055,26,17,442,1.529412,0.0002,0.013549,0.014744,0.00938,0.922376,0,0,79,0.219457,0.056561,0.024887,0.006787,0.011312,0.0,0.642534,0.451049,UNKNOWN,0.4
88,1151,1119,451,97,21,21,441,1.0,0.000199,0.010943,0.018213,0.24049,0.093235,2,0,15,0.23356,0.095238,0.070295,0.081633,0.00907,0.0,0.780045,0.193772,UNKNOWN,0.4
89,1365,,507,31,18,24,432,0.75,0.000195,0.00938,0.020815,0.26889,0.037294,0,0,79,0.261574,0.081019,0.041667,0.013889,0.025463,0.0,0.583333,0.557143,UNKNOWN,0.4
90,1460,,259,29,17,25,425,0.68,0.000192,0.008859,0.021683,0.139396,0.035993,0,0,79,0.294118,0.122353,0.122353,0.134118,0.009412,0.0,0.894118,0.080586,UNKNOWN,0.4
91,607,,10,421,20,20,400,1.0,0.000181,0.010422,0.017346,0.010422,0.373807,0,0,79,0.3275,0.0975,0.09,0.08,0.025,0.0,0.38,0.734375,UNKNOWN,0.4
92,1177,1174,255,96,18,22,396,0.818182,0.000179,0.00938,0.019081,0.137572,0.092801,3,0,1,0.340909,0.171717,0.159091,0.118687,0.012626,0.0,0.505051,0.388889,UNKNOWN,0.4
93,603,599,17,494,15,26,390,0.576923,0.000176,0.007817,0.02255,0.012767,0.439722,1,0,1,0.25641,0.1,0.141026,0.130769,0.002564,0.0,0.628205,0.338843,UNKNOWN,0.4
94,1454,,383,29,24,16,384,1.5,0.000174,0.012507,0.013877,0.205836,0.03209,0,1,79,0.348958,0.135417,0.205729,0.125,0.015625,0.036458,0.583333,0.408333,UNKNOWN,0.4
95,664,,11,225,20,19,380,1.052632,0.000172,0.010422,0.016479,0.010943,0.203382,0,0,79,0.368421,0.139474,0.015789,0.026316,0.015789,0.0,0.357895,0.783333,UNKNOWN,0.4
96,908,888,725,176,31,12,372,2.583333,0.000168,0.016154,0.010408,0.385878,0.157849,2,0,1,0.341398,0.102151,0.0,0.053763,0.024194,0.110215,0.688172,0.476852,UNKNOWN,0.4
97,501,,10,871,19,19,361,1.0,0.000163,0.009901,0.016479,0.010162,0.76366,0,0,79,0.307479,0.105263,0.174515,0.077562,0.01662,0.0,0.393352,0.684444,UNKNOWN,0.4
98,601,599,10,498,20,18,360,1.111111,0.000163,0.010422,0.015611,0.010422,0.439722,1,0,1,0.188889,0.188889,0.1,0.088889,0.002778,0.0,0.8,0.0,UNKNOWN,0.4
99,765,,11,185,18,20,360,0.9,0.000163,0.00938,0.017346,0.010422,0.169124,0,1,79,0.211111,0.052778,0.0,0.013889,0.011111,0.0,0.541667,0.651786,UNKNOWN,0.4
100,1193,1192,20,102,21,17,357,1.235294,0.000161,0.010943,0.014744,0.015894,0.095837,3,0,0,0.308123,0.162465,0.112045,0.131653,0.002801,0.0,0.481793,0.447964,UNKNOWN,0.4
101,358,,14,1028,19,18,342,1.055556,0.000155,0.009901,0.015611,0.012246,0.899393,0,0,79,0.295322,0.163743,0.084795,0.134503,0.005848,0.0,0.69883,0.109524,UNKNOWN,0.4
102,557,,11,725,18,19,342,0.947368,0.000155,0.00938,0.016479,0.010422,0.637034,0,0,79,0.415205,0.175439,0.052632,0.154971,0.011696,0.0,0.98538,0.0,UNKNOWN,0.4
103,1145,1119,290,98,19,18,342,1.055556,0.000155,0.009901,0.015611,0.156071,0.092801,2,0,15,0.195906,0.090643,0.038012,0.146199,0.008772,0.0,0.903509,0.057143,UNKNOWN,0.4
104,1309,,178,39,21,16,336,1.3125,0.000152,0.010943,0.013877,0.098228,0.040763,0,0,79,0.33631,0.130952,0.032738,0.03869,0.014881,0.0,0.818452,0.210784,UNKNOWN,0.4
105,370,,10,947,18,18,324,1.0,0.000146,0.00938,0.015611,0.009901,0.829141,0,1,79,0.274691,0.123457,0.148148,0.126543,0.006173,0.0,0.401235,0.357143,UNKNOWN,0.4
106,571,,11,612,18,18,324,1.0,0.000146,0.00938,0.015611,0.010422,0.538595,0,0,79,0.320988,0.209877,0.154321,0.154321,0.012346,0.0,0.518519,0.489796,UNKNOWN,0.4
107,1097,,128,130,18,18,324,1.0,0.000146,0.00938,0.015611,0.071391,0.120555,0,0,79,0.388889,0.132716,0.175926,0.101852,0.030864,0.256173,0.66358,0.372449,UNKNOWN,0.4
108,1323,,743,34,18,18,324,1.0,0.000146,0.00938,0.015611,0.391871,0.037294,0,0,79,0.305556,0.126543,0.0,0.117284,0.012346,0.0,0.345679,0.663265,UNKNOWN,0.4
109,1327,,671,34,18,18,324,1.0,0.000146,0.00938,0.015611,0.354351,0.037294,0,0,79,0.290123,0.111111,0.0,0.117284,0.012346,0.0,0.364198,0.663265,UNKNOWN,0.4
110,768,765,12,186,16,19,304,0.842105,0.000137,0.008338,0.016479,0.010422,0.169558,1,0,0,0.230263,0.085526,0.032895,0.0,0.006579,0.0,0.470395,0.744444,UNKNOWN,0.4
111,1388,1387,19,38,23,13,299,1.769231,0.000135,0.011985,0.011275,0.015894,0.038595,1,0,0,0.264214,0.173913,0.137124,0.0,0.013378,0.0,0.341137,0.584795,UNKNOWN,0.4
112,558,,12,688,17,17,289,1.0,0.000131,0.008859,0.014744,0.010683,0.604076,0,0,79,0.179931,0.176471,0.083045,0.079585,0.00346,0.0,0.702422,0.35503,UNKNOWN,0.4
